course,institution,url,admission req,language req,deadline
RTG 2654: Sustainable Food Systems,University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7645/,"Successful candidates will have an outstanding Master’s degree (or equivalent) in food and agricultural economics, development economics, general economics, sustainability studies, (food) marketing, or related social sciences disciplines, strong analytical skills, experience with relevant statistical methods, proven interest in topics related to sustainable food systems, and strong computer skills. We also expect successful candidates to be active team players in the RTG. Experience with data collection in an international context will be a plus.",Excellent command of the English language,"Please check our website for more information: https://www.uni-goettingen.de/de/635183.html
PhD students with their own funding (e.g. DAAD) can join at any time."
RTG GRK 2338 Targets in Toxicology - Deciphering Therapeutic Targets in Lung Toxicology,Ludwig-Maximilians-Universität München,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5456/,"Master's degree in Life Sciences (Biology, Biochemistry, Chemistry, Veterinary Medicine, Medicine, or Pharmacy)",Native English or TOEFL,https://www.grk2338.med.uni-muenchen.de
RUB Research School,Ruhr-Universität Bochum,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7119/,N/A,N/A,N/A
Saarbrücken Graduate School of Computer Science,Saarland University,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3645/,"A very strong Bachelor's degree or a top Master's in computer science or a related field is required. A CV, copies of all diplomas and transcripts, and a convincing statement of purpose must be submitted. Two letters of reference must be submitted directly by the referees.
Please note that this is a highly competitive programme. Only applicants who rank amongst the top students of their cohort are likely to succeed.","Proof of English proficiency is absolutely necessary in order to be successful in the programme.
German is not necessary for admission into the programme. It can be learned for everyday purposes after arrival. Language courses at all levels are offered as part of the programme.","The application deadlines are twice a year at the end of April and October for the following semester (October, April). Current information may always be found on the website: https://www.graduateschool-computerscience.de/."
Solar System School — International Max Planck Research School for Solar System Science (PhD),University of Göttingen,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4074/,"Academic admission requirements include a Master of Science (or equivalent) degree in physics, geosciences or a related field, including a written Master's thesis or a first-author peer-reviewed scientific publication. Positions are awarded on a competitive basis.",Documented proficiency in English is required.,"Several calls per year
Please plan ahead for any admission tests that you may be required to take, e.g. English language test or a GRE subject test in physics or chemistry (no GRE for geosciences). Please also plan ahead to inform and get consent from two academic referees who agree to submit reference letters on your behalf.
Applications for the PhD programme in Solar System Science may be submitted in response to an IMPRS call for applications, issued at various times per year (please see current schedule).
Applications in response to an IMPRS call for applications must be submitted through the online application portal. You may create an account for your online application for an upcoming call at any time. You will be able to save, edit and preview your application data without restrictions before submission.
Upon submission of the application, requests will be sent out to the two referees that you have named, with a deadline to submit reference letters no later than two weeks after the deadline for the call. Your submitted application will only be complete once two letters of recommendation have been uploaded and submitted by your referees."
Spemann Graduate School of Biology and Medicine (SGBM),University of Freiburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6883/,"Master's degree (in some cases, which are examined individually, also BA with honours)
	Candidates with a medical degree (MD) are eligible for the MD/PhD programme.

Short-listed candidates invited for an interview have to present their Master's thesis project to the selection committee. In addition, each candidate has three individual interviews with a principal investigator of the school.","The language of the school is English. Applicants must provide proof of their English skills, but the TOEFL (or equivalent) is not required. Interviews and presentations to the selection committee will all take place in English, and candidates who are not fluent will not be considered.",Consult the website: https://www.sgbm.uni-freiburg.de
Structured PhD Programme in Health Data Sciences,Humboldt-Universität zu Berlin,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8407/,"Proof of eligibility for a doctoral degree per the requirements outlined by the Charité – Universitätsmedizin Berlin (""Promotion eligibility"")
	Evidence of prior course work with professional relevance to Health Data Sciences (biostatistics, epidemiology, public health, meta-research, population health science, and/or medical informatics)
	A strong command of the English language (details below)
	Secured funding for the duration of the doctoral programme
",English Level B2 according to the Common European Framework of Reference for Languages ​​(CEFR),"Much of the programme coursework requires the use of statistical programmes. Most students will use R software, although some students will use other programmes, such as Python, Stata, or SAS."
Structured PhD Programme in the Graduate School of Integrated Climate and Earth System Sciences (SICSS),Universität Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4116/,"Master's degree / German ""Diplom"" in natural sciences, environmental earth sciences, climate sciences, or climate-related sciences such as social sciences, economics or humanities
	The topic of the doctoral thesis must focus on climate and earth system sciences.
",Good English language skills; German language skills are helpful.,Interested MSc graduates or doctoral candidates who already hold a scholarship or have an employment at Universität Hamburg or a cooperating institution are welcome to get in touch with the SICSS office by e-mail: sicss@uni.hamburg.de.
"Trinational Doctoral Programme in Europe's Founding Myths in Literature, Art and Music",University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6881/,"Candidates must fulfil the doctoral programme admission requirements of the university at which they wish to enrol. Specifically, candidates must have obtained a degree in a relevant field of study (with a standard duration of five years) with at least the second best possible marks, according to the Bologna Accord or the equivalent thereof.
In general, candidates are required to be able to engage in scientific research independently. They must therefore have the knowledge and abilities necessary for such endeavours as well as being theoretically and methodically competent in relation to the subjects at hand.","Candidates must be reasonably fluent in at least two of the three languages of the programme. If necessary, knowledge in the one remaining language can be acquired by attending courses during the first and second years of studies.",No application deadline
Trinational Doctoral Programme in Italian Studies,University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3857/,"Master of Arts in Italian Studies (or similar); excellent grades, especially for the Master's thesis",Italian at level C2 CEFR,No application deadline
"TRR 333 Brown and Beige Fat – Organ Crosstalk, Signalling and Energetics (BATenergy)",University of Bonn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9037/,"Members of the TRR 333 are recruited in a transparent and internationally advertised process.
Interested persons need a Master's or similar degree (e.g., state examination or diploma) to enrol in the iRTG. Acceptance further needs a short application and the dean's conformation letter and will be decided by the TRR 333 Steering Committee.","The teaching language is English and, thus, very good proficiency in written and spoken English is required.","If you decide to apply for the TRR 333 graduate programme, please check the official website https://www.trr333.uni-bonn.de/projects and apply directly to the respective project leader. In case of specific questions, you can contact the scientific coordinator (stephan.altmann@uni-bonn.de)."
Understanding Written Artefacts,Universität Hamburg,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6935/,"Academic qualification
Applicants must hold a degree (e.g. Master's degree, ""Magister"", ""Diplom"", state exam) from a university or equivalent higher education institution in one of the academic disciplines represented in the ""Understanding Written Artefacts"" Cluster. The performance in the subject that is to become the discipline of doctoral study has to be above average (at least ""good"" in the German system or equivalent).
Only disciplines from the Faculty of Humanities or the Faculty of Mathematics, Informatics and Natural Sciences at Universität Hamburg can be chosen.
Fast-track option
Exceptionally qualified applicants can enter the doctoral programme directly with only a Bachelor's degree (that is materially relevant to the dissertation project). The corresponding Master's degree and the doctoral degree are then pursued at the same time.","We expect excellent skills in spoken and written English, as it is not only the working language at the research centre, but also the language in which the dissertation is written and defended. Applicants are therefore required to provide evidence of their English language proficiency.
The programme does not require any German skills. However, we encourage all researchers to participate in our free German course, which helps them in situations of everyday life in Hamburg.",New doctoral candidates are recruited through job postings or scholarship postings on our website. The individual application deadline for each doctoral position is announced in the respective posting: https://www.csmc.uni-hamburg.de/about/vacant-positions.html
yDiv Graduate School & Postdoc Programme for Integrative Biodiversity Research,Friedrich Schiller University Jena,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8416/,Exceptional Master's degree in a discipline relevant to biodiversity research,Fluent written and spoken English is required.,"Applications for PhD positions are possible throughout the year. For more information, please see https://www.idiv.de/en/about_idiv/career.html."
